job_id,job_title,company_name,location,salary,employment_type,skills,posting_date
JID-8238,Cybersecurity Analyst,CodeBase,"Boston, MA",Negotiable,Part-time,"Docker, Node.js, React, Java, Python",07-11-2023
JID-4257,Data Scientist,WebWorld,"Seattle, WA",$103k,Part-time,"TensorFlow, Python, React",04-05-2023
JID-6790,DevOps Engineer,InnovateX,"Austin, TX",$128k,Full-time,"AWS, React, Java",8/27/2025
JID-9111,AI Engineer,AI Solutions,"Chicago, IL",,,"Node.js, Java, Python, Kubernetes",7/14/2025
JID-5560,Backend Developer,ML Insights,"Austin, TX",$67k,Contract,"Kubernetes, React",7/26/2024
JID-4893,DevOps Engineer,CyberSecure,"Boston, MA",,Full-time,"SQL, AWS, Kubernetes, C++",7/17/2025
JID-6242,Cybersecurity Analyst,ML Insights,"San Francisco, CA",Negotiable,Contract,"TensorFlow, Python",07-09-2023
JID-7655,Product Manager,DevMasters,Remote,,Part-time,"SQL, AWS, Python, TensorFlow, Kubernetes",12/20/2023
JID-5043,Software Engineer,DataWave,Remote,$133k,Full-time,"React, AWS",5/27/2023
JID-5100,Cybersecurity Analyst,CloudNet,"Los Angeles, CA",$70k,Full-time,"AWS, SQL, Kubernetes, Python, React",07-01-2024
JID-4182,AI Engineer,WebWorld,"Los Angeles, CA",,,"React, Python, Kubernetes, C++",04-11-2023
JID-5178,Backend Developer,InnovateX,"Boston, MA",,Part-time,,2/13/2024
JID-3053,DevOps Engineer,,"San Francisco, CA",$70k,Full-time,"Python, TensorFlow, Docker",09-02-2025
JID-4759,AI Engineer,DataWave,Remote,,Contract,"AWS, C++, React, Docker",07-04-2024
JID-4517,Backend Developer,CyberSecure,"Chicago, IL",Negotiable,Part-time,"AWS, SQL, C++, TensorFlow",11/22/2025
JID-2703,Full Stack Developer,InnovateX,"Austin, TX",Negotiable,Part-time,"Java, React, C++, Python",04-03-2024
JID-5393,Frontend Developer,CodeBase,Remote,,Contract,"SQL, Java, AWS, Docker",09-09-2025
JID-1500,Data Scientist,AI Solutions,Remote,$92k,Full-time,"Java, React, Node.js, Docker, TensorFlow",11-04-2023
JID-6592,Cloud Architect,InnovateX,"Austin, TX",Negotiable,Full-time,,05-12-2023
JID-2985,Full Stack Developer,CodeBase,"Boston, MA",,Contract,"Kubernetes, AWS",9/27/2023
JID-5391,Data Scientist,AI Solutions,"San Francisco, CA",Negotiable,,"Docker, Java",2/13/2023
JID-8072,Cybersecurity Analyst,WebWorld,"San Francisco, CA",$54k,Full-time,"React, SQL, Docker, Python, TensorFlow",1/23/2024
JID-4590,Backend Developer,WebWorld,"San Francisco, CA",,Contract,,6/28/2024
JID-8095,Software Engineer,TechCorp,"San Francisco, CA",,Full-time,"Node.js, Docker, Java",07-11-2025
JID-8540,AI Engineer,DevMasters,"Seattle, WA",$133k,Part-time,"Node.js, SQL, C++",6/15/2025
JID-3885,Frontend Developer,CodeBase,"Seattle, WA",,Contract,"Kubernetes, Java, Node.js",09-09-2025
JID-6209,DevOps Engineer,InnovateX,"Seattle, WA",$143k,Part-time,"TensorFlow, React, AWS",03-05-2024
JID-2505,Product Manager,InnovateX,Unknown,Negotiable,Contract,"Docker, C++",10/27/2023
JID-8951,Cybersecurity Analyst,WebWorld,"New York, NY",,Full-time,"C++, Kubernetes, React",11/28/2024
JID-3033,Product Manager,ML Insights,"New York, NY",,Part-time,"Node.js, Kubernetes, AWS, React, TensorFlow",10/18/2025
JID-3027,Full Stack Developer,WebWorld,"Chicago, IL",Negotiable,Full-time,"React, Node.js, SQL, C++, Docker",07-12-2025
JID-3850,DevOps Engineer,CloudNet,"Los Angeles, CA",,Full-time,"Docker, Python, Kubernetes, TensorFlow, SQL",6/24/2025
JID-8977,Software Engineer,DevMasters,"New York, NY",$102k,Part-time,"Docker, AWS, Node.js, React",1/14/2025
JID-7047,Product Manager,AI Solutions,"Los Angeles, CA",,Part-time,"AWS, SQL, Kubernetes, TensorFlow, C++",2/18/2023
JID-7654,DevOps Engineer,DataWave,"San Francisco, CA",Negotiable,Full-time,"React, TensorFlow, Node.js",06-12-2025
JID-7323,Frontend Developer,DevMasters,"Los Angeles, CA",,Full-time,"TensorFlow, Kubernetes, Docker, Node.js, C++",09-11-2023
JID-7348,DevOps Engineer,CloudNet,"Seattle, WA",,Part-time,"Node.js, TensorFlow, C++, AWS",07-08-2023
JID-7387,AI Engineer,WebWorld,"Boston, MA",,Contract,"C++, Node.js, Java",05-02-2024
JID-1418,Cybersecurity Analyst,InnovateX,Unknown,,Full-time,"SQL, Kubernetes",1/20/2025
JID-9573,Data Scientist,DevMasters,"New York, NY",Negotiable,Contract,"AWS, Kubernetes",11-08-2023
JID-3515,Cloud Architect,CloudNet,"New York, NY",$64k,Part-time,"Java, React",11/13/2024
JID-9213,Cybersecurity Analyst,DataWave,"Los Angeles, CA",$145k,Contract,"Java, Python",08-02-2023
JID-4167,Frontend Developer,ML Insights,"San Francisco, CA",$61k,Full-time,"TensorFlow, C++, Kubernetes, Docker",3/24/2024
JID-5050,Software Engineer,DataWave,Unknown,$114k,Full-time,"C++, TensorFlow, Kubernetes, Python, Docker",6/17/2025
JID-9813,Full Stack Developer,CyberSecure,"New York, NY",,Contract,"TensorFlow, React, Python, Kubernetes, SQL",07-12-2024
JID-6778,DevOps Engineer,CodeBase,"New York, NY",,Full-time,"Python, React, Java",6/22/2025
JID-3200,DevOps Engineer,TechCorp,"Austin, TX",Negotiable,Contract,,4/25/2023
JID-1454,Cybersecurity Analyst,WebWorld,"Austin, TX",,Contract,"SQL, Node.js",10/13/2024
JID-6860,Software Engineer,InnovateX,"San Francisco, CA",,Contract,"React, AWS",7/22/2024
JID-7117,Cybersecurity Analyst,DataWave,"Austin, TX",Negotiable,Contract,"SQL, TensorFlow, C++",05-05-2023
JID-3109,DevOps Engineer,CodeBase,"New York, NY",Negotiable,Part-time,,12-12-2024
JID-8450,Cybersecurity Analyst,CyberSecure,"Boston, MA",Negotiable,,"C++, Node.js, Docker, Kubernetes, AWS",4/16/2024
JID-2591,Software Engineer,TechCorp,"Seattle, WA",$141k,Full-time,"SQL, React, AWS",10-04-2023
JID-3542,Backend Developer,,"Austin, TX",,Part-time,"Docker, TensorFlow, React",03-02-2023
JID-2081,Data Scientist,WebWorld,"Los Angeles, CA",,Full-time,"Node.js, React, AWS, Docker",7/27/2024
JID-5694,DevOps Engineer,,Unknown,,Part-time,"Java, C++",7/17/2024
JID-7387,AI Engineer,AI Solutions,"Chicago, IL",$122k,Full-time,"Java, SQL, Node.js, Python, Kubernetes",12/14/2023
JID-7379,Data Scientist,CyberSecure,Unknown,Negotiable,Full-time,"TensorFlow, Java, Node.js",08-02-2024
JID-3627,DevOps Engineer,CloudNet,"San Francisco, CA",,Part-time,"Docker, Python, TensorFlow, C++, React",7/28/2024
JID-6838,AI Engineer,AI Solutions,"Boston, MA",,Full-time,"Python, React, Java, AWS, Kubernetes",09-09-2025
JID-7670,Backend Developer,DataWave,"Chicago, IL",Negotiable,Part-time,"Java, Node.js, Docker, React, AWS",11/26/2023
JID-5531,Software Engineer,CodeBase,"Seattle, WA",,Full-time,"Docker, SQL, Python",11-10-2024
JID-2530,Full Stack Developer,,"New York, NY",,Contract,"Kubernetes, SQL, AWS",3/13/2023
JID-8631,Software Engineer,CodeBase,"Seattle, WA",Negotiable,Part-time,"Java, Node.js, React, Docker",11/25/2024
JID-5057,Frontend Developer,CyberSecure,"Chicago, IL",Negotiable,Full-time,"Python, Java, Node.js",12-05-2024
JID-7695,Data Scientist,CloudNet,"Austin, TX",Negotiable,Part-time,"Kubernetes, TensorFlow, React, Node.js",03-04-2024
JID-2995,DevOps Engineer,DataWave,"Seattle, WA",Negotiable,Full-time,"TensorFlow, AWS, React, Node.js",01-09-2023
JID-5253,Full Stack Developer,TechCorp,"New York, NY",Negotiable,Contract,"Docker, Python, Kubernetes, SQL, AWS",12/23/2023
JID-2216,Frontend Developer,WebWorld,"Chicago, IL",,Part-time,"React, Node.js, Java",2/25/2023
JID-2850,Backend Developer,,"Chicago, IL",$50k,Contract,"AWS, SQL, C++",01-06-2023
JID-5799,DevOps Engineer,AI Solutions,"Boston, MA",,Contract,"TensorFlow, React, AWS, Docker",2/19/2024
JID-2071,Full Stack Developer,InnovateX,"Chicago, IL",,Full-time,"C++, Java, Kubernetes, TensorFlow, AWS",12-08-2023
JID-3605,Full Stack Developer,TechCorp,"New York, NY",,Contract,"SQL, TensorFlow, C++",01-12-2023
JID-1826,Cybersecurity Analyst,CodeBase,"Boston, MA",$65k,Part-time,"Node.js, Java, Docker, SQL, AWS",09-03-2024
JID-8111,Backend Developer,AI Solutions,"San Francisco, CA",Negotiable,Contract,"AWS, Java, C++",6/23/2025
JID-7231,Cloud Architect,InnovateX,"Seattle, WA",,Part-time,"TensorFlow, Kubernetes",1/26/2025
JID-8153,Frontend Developer,InnovateX,"Los Angeles, CA",,Contract,"Node.js, TensorFlow",6/24/2024
JID-5651,Cloud Architect,InnovateX,"San Francisco, CA",Negotiable,Part-time,,5/20/2024
JID-5341,Product Manager,DataWave,Unknown,Negotiable,Full-time,"Node.js, Python",2/16/2025
JID-5444,Data Scientist,ML Insights,Unknown,$114k,Full-time,"Java, TensorFlow, C++, Kubernetes, React",10-06-2023
JID-7733,Software Engineer,CloudNet,"Chicago, IL",Negotiable,Contract,"Node.js, Java, Python, Kubernetes",5/23/2025
JID-5133,Backend Developer,DevMasters,"Seattle, WA",Negotiable,Part-time,"Java, React",8/15/2023
JID-8414,AI Engineer,TechCorp,"Chicago, IL",Negotiable,Part-time,"Docker, SQL",12/18/2024
JID-5179,Software Engineer,CodeBase,"Boston, MA",,Contract,"TensorFlow, Kubernetes, Docker",02-06-2023
JID-4076,Backend Developer,DataWave,"Austin, TX",,Contract,"Docker, AWS, React, Java",9/15/2023
JID-1620,Data Scientist,InnovateX,"Seattle, WA",$98k,,"Kubernetes, Java, Docker, AWS, TensorFlow",01-04-2024
JID-5038,Product Manager,TechCorp,"Los Angeles, CA",,Full-time,"C++, Kubernetes, SQL, Python, AWS",3/18/2024
JID-9005,AI Engineer,AI Solutions,"San Francisco, CA",,Part-time,"React, SQL, Java, AWS",3/16/2023
JID-7672,Product Manager,WebWorld,"Seattle, WA",,Contract,"React, C++",12-09-2024
JID-7280,Frontend Developer,CodeBase,"Chicago, IL",,Contract,"Kubernetes, AWS, Python, C++",06-05-2024
JID-9119,Full Stack Developer,WebWorld,"Los Angeles, CA",$131k,Full-time,"React, TensorFlow",8/14/2023
JID-1614,Cybersecurity Analyst,InnovateX,"New York, NY",,Contract,"C++, Node.js, Python",03-09-2025
JID-4543,Product Manager,AI Solutions,"New York, NY",,,"C++, Node.js, TensorFlow, Java, Kubernetes",01-06-2023
JID-6376,Software Engineer,InnovateX,"Boston, MA",,Contract,"Docker, C++, AWS, Node.js, TensorFlow",12-11-2023
JID-5525,Frontend Developer,CyberSecure,"San Francisco, CA",,Part-time,,10/19/2025
JID-7787,Frontend Developer,CloudNet,"New York, NY",Negotiable,Full-time,"C++, TensorFlow, Python",7/23/2024
JID-2670,AI Engineer,CloudNet,"San Francisco, CA",,Part-time,"SQL, Python, TensorFlow, AWS",07-03-2023
JID-5721,Cloud Architect,CloudNet,Unknown,Negotiable,Part-time,"Docker, Java, React, SQL, C++",7/28/2023
JID-4951,Cybersecurity Analyst,DevMasters,"New York, NY",,Part-time,"Python, TensorFlow, SQL, C++",7/15/2024
JID-2075,DevOps Engineer,DevMasters,"Seattle, WA",,Contract,"SQL, Docker, C++, AWS",11-05-2023
JID-3063,Data Scientist,InnovateX,Unknown,,,"Java, Kubernetes, TensorFlow, AWS",12-02-2023
JID-7546,Software Engineer,DevMasters,"Austin, TX",$91k,Full-time,"React, SQL",01-03-2025
JID-9357,Software Engineer,ML Insights,"Seattle, WA",Negotiable,Full-time,"C++, Node.js, Kubernetes, Docker",9/16/2023
JID-8197,Full Stack Developer,CloudNet,Remote,$127k,Contract,"Node.js, SQL",10-01-2023
JID-2499,Software Engineer,DataWave,"Austin, TX",,Contract,"C++, SQL, TensorFlow, AWS",04-10-2025
JID-2063,Data Scientist,CyberSecure,"Chicago, IL",,Contract,,5/15/2024
JID-1932,AI Engineer,CyberSecure,"Los Angeles, CA",$88k,Part-time,"SQL, Kubernetes, AWS, TensorFlow",4/25/2023
JID-7248,Data Scientist,WebWorld,"Chicago, IL",Negotiable,Contract,"SQL, TensorFlow, Python, Node.js",8/20/2024
JID-1694,Cybersecurity Analyst,CyberSecure,"Chicago, IL",$60k,Full-time,"TensorFlow, React, AWS, SQL, Kubernetes",10/20/2023
JID-6402,Data Scientist,DataWave,"Chicago, IL",,Part-time,"React, Node.js",12-04-2024
JID-8237,Data Scientist,CloudNet,Unknown,,Contract,"Kubernetes, TensorFlow, React, C++",08-08-2024
JID-8533,AI Engineer,CloudNet,"New York, NY",$95k,Full-time,"TensorFlow, Java, Docker, SQL",04-04-2024
JID-5744,Frontend Developer,AI Solutions,"Los Angeles, CA",,Full-time,"SQL, AWS",11-06-2024
JID-1356,Frontend Developer,ML Insights,"San Francisco, CA",,Contract,"Java, Python, SQL, Node.js, C++",7/27/2023
JID-9425,Backend Developer,DataWave,"New York, NY",Negotiable,Full-time,"Python, AWS, TensorFlow, Kubernetes, C++",02-05-2025
JID-1905,Data Scientist,TechCorp,Remote,,Full-time,"Python, Java",5/17/2023
JID-3890,Backend Developer,AI Solutions,"Seattle, WA",,Contract,"Docker, Python, Node.js",07-11-2025
JID-3130,Software Engineer,CyberSecure,Unknown,Negotiable,Part-time,"Java, AWS",09-08-2025
JID-8700,Full Stack Developer,CloudNet,Remote,$74k,Full-time,"Kubernetes, AWS",04-12-2025
JID-5115,Cloud Architect,TechCorp,"New York, NY",Negotiable,Contract,"SQL, AWS, C++, Docker, Kubernetes",10-06-2024
JID-6056,Cybersecurity Analyst,CodeBase,"San Francisco, CA",,Part-time,"React, AWS, Docker",2/17/2024
JID-1805,DevOps Engineer,CyberSecure,"Austin, TX",$127k,Part-time,"TensorFlow, Node.js, C++, SQL, React",10-05-2023
JID-8928,Cloud Architect,,"Austin, TX",,Part-time,"C++, Node.js, SQL, AWS",03-01-2025
JID-5240,Software Engineer,WebWorld,Unknown,Negotiable,Contract,"Python, Docker, TensorFlow, SQL, C++",8/28/2023
JID-7668,Backend Developer,ML Insights,"Los Angeles, CA",,Contract,"Node.js, C++, Java, Docker, Kubernetes",11/19/2025
JID-8096,Cybersecurity Analyst,InnovateX,"Seattle, WA",$81k,Full-time,,04-07-2023
JID-5873,Frontend Developer,TechCorp,"New York, NY",Negotiable,Part-time,"Java, C++, React, Kubernetes",6/17/2024
JID-2175,Full Stack Developer,CyberSecure,"San Francisco, CA",$123k,Part-time,"React, Java, AWS",11-04-2023
JID-9398,Backend Developer,CloudNet,"Chicago, IL",$73k,Part-time,"TensorFlow, Node.js",2/24/2025
JID-7607,Cybersecurity Analyst,TechCorp,"San Francisco, CA",,Part-time,"Kubernetes, Docker",08-09-2024
JID-8704,Data Scientist,CloudNet,"San Francisco, CA",,Part-time,"AWS, Kubernetes, TensorFlow, Node.js",10/25/2025
JID-5077,Cybersecurity Analyst,AI Solutions,Remote,Negotiable,Full-time,"Python, React, C++, Docker, Kubernetes",08-12-2023
JID-6805,Software Engineer,CodeBase,"Seattle, WA",,Contract,"React, Python, Java",1/16/2025
JID-3287,Cybersecurity Analyst,CloudNet,Remote,,Full-time,"Node.js, Python, React",02-07-2023
JID-9617,Full Stack Developer,TechCorp,"Boston, MA",Negotiable,Part-time,"SQL, TensorFlow",7/21/2024
JID-8098,DevOps Engineer,CodeBase,"New York, NY",,Full-time,"Kubernetes, Node.js, C++, TensorFlow",11-03-2024
JID-5081,Full Stack Developer,CyberSecure,"San Francisco, CA",,Part-time,"Kubernetes, SQL, Java",3/28/2024
JID-2098,Backend Developer,DataWave,"New York, NY",,Full-time,"Java, AWS, Docker, C++",11/21/2024
JID-5800,Cybersecurity Analyst,TechCorp,"Boston, MA",Negotiable,Full-time,"C++, React, Docker",10-10-2024
JID-9686,Cloud Architect,CloudNet,"Los Angeles, CA",,Part-time,"TensorFlow, SQL, Node.js, React",07-06-2024
JID-5554,Product Manager,ML Insights,"New York, NY",$66k,Full-time,"SQL, TensorFlow",10/13/2023
JID-7869,DevOps Engineer,WebWorld,Remote,,,"Node.js, TensorFlow, AWS, SQL",3/15/2024
JID-4650,DevOps Engineer,DataWave,"Austin, TX",,Full-time,"React, SQL, TensorFlow, Java, Node.js",12/18/2024
JID-6222,Full Stack Developer,WebWorld,"Los Angeles, CA",Negotiable,Contract,"SQL, AWS, Node.js, Kubernetes, Docker",1/23/2024
JID-9184,Backend Developer,InnovateX,"Austin, TX",$62k,Part-time,"AWS, C++, React, Java",8/14/2023
JID-4403,Backend Developer,CodeBase,Remote,Negotiable,Full-time,"TensorFlow, AWS, React",08-03-2023
JID-5755,Cloud Architect,AI Solutions,"Los Angeles, CA",,Part-time,"Java, C++, Python",3/14/2025
JID-8649,Full Stack Developer,AI Solutions,"Seattle, WA",,Contract,"Java, TensorFlow, AWS, Python",08-07-2023
JID-6162,Cybersecurity Analyst,CyberSecure,"New York, NY",Negotiable,Contract,"SQL, Node.js",2/28/2023
JID-4042,Cybersecurity Analyst,CyberSecure,"San Francisco, CA",Negotiable,Contract,"Java, React, Docker, AWS",04-01-2024
JID-6162,Backend Developer,DataWave,"Boston, MA",$98k,Part-time,"C++, Kubernetes, Node.js, Python, TensorFlow",02-03-2025
JID-4641,Cloud Architect,TechCorp,Unknown,$138k,Part-time,"Java, AWS, React, C++, Docker",4/14/2025
JID-2653,Product Manager,CyberSecure,"Boston, MA",,Contract,"Java, React, C++, SQL, Node.js",12/14/2025
JID-5745,Data Scientist,ML Insights,Remote,,Contract,"TensorFlow, C++, React",4/21/2023
JID-4793,AI Engineer,AI Solutions,"Los Angeles, CA",$140k,Part-time,,3/25/2025
JID-6175,Cloud Architect,CyberSecure,"Boston, MA",,Part-time,"React, AWS, Python",04-10-2025
JID-4780,Backend Developer,ML Insights,"Los Angeles, CA",$95k,Full-time,"React, Node.js, SQL, Docker, Python",9/14/2025
JID-1539,Frontend Developer,InnovateX,"Boston, MA",,Contract,"React, Docker",5/22/2025
JID-7613,Product Manager,WebWorld,Remote,$150k,Part-time,"Java, AWS",6/22/2024
JID-4959,DevOps Engineer,CloudNet,"Chicago, IL",,Part-time,"Node.js, Java",10-02-2024
JID-5954,DevOps Engineer,DataWave,Remote,Negotiable,Full-time,"Docker, C++, Java",12/19/2023
JID-2752,Backend Developer,DataWave,"Seattle, WA",,Part-time,"TensorFlow, Java",9/27/2024
JID-3719,Product Manager,InnovateX,Unknown,,Full-time,"Kubernetes, TensorFlow, Python",06-05-2023
JID-1002,DevOps Engineer,WebWorld,Unknown,$92k,Contract,"React, Java, Kubernetes",01-02-2025
JID-4848,Cybersecurity Analyst,DevMasters,Remote,Negotiable,Contract,"React, SQL",3/25/2025
JID-6424,Frontend Developer,CodeBase,"Chicago, IL",$80k,Part-time,"TensorFlow, SQL, C++",1/27/2025
JID-9582,Frontend Developer,DataWave,"Boston, MA",$141k,Part-time,"Node.js, SQL",05-04-2025
JID-9169,Frontend Developer,WebWorld,"Los Angeles, CA",,Full-time,"React, AWS, Kubernetes, Python",12/23/2023
JID-1519,AI Engineer,WebWorld,"Chicago, IL",$150k,Contract,"Java, Docker, Python, C++",9/19/2023
JID-5014,DevOps Engineer,InnovateX,"Austin, TX",Negotiable,Part-time,"Python, TensorFlow, C++, Java, React",06-05-2025
JID-4666,Backend Developer,ML Insights,"Seattle, WA",,Contract,"React, AWS, C++, SQL",2/19/2024
JID-2424,Cloud Architect,DevMasters,"Chicago, IL",,Contract,,4/27/2023
JID-1495,Frontend Developer,ML Insights,Remote,,Contract,"Docker, C++",04-10-2023
JID-7588,Cybersecurity Analyst,CodeBase,"Austin, TX",Negotiable,Contract,,11/13/2024
JID-3719,Data Scientist,DevMasters,Remote,,Contract,"SQL, Kubernetes, Java, Node.js, React",10-05-2025
JID-8103,DevOps Engineer,TechCorp,"Boston, MA",Negotiable,Part-time,"Java, Node.js",3/13/2023
JID-1689,Backend Developer,CloudNet,"San Francisco, CA",Negotiable,Contract,"Java, TensorFlow, Kubernetes, SQL",01-12-2025
JID-3365,Software Engineer,,"Los Angeles, CA",$91k,Part-time,"Node.js, Docker, C++, Python",1/13/2024
JID-9329,Backend Developer,TechCorp,"Chicago, IL",Negotiable,Full-time,"SQL, Docker, React, TensorFlow",4/18/2023
JID-1902,DevOps Engineer,TechCorp,Remote,Negotiable,Contract,,06-07-2025
JID-9119,Backend Developer,TechCorp,"San Francisco, CA",$115k,Contract,"Docker, React, Kubernetes",11/28/2023
JID-3010,AI Engineer,CodeBase,"Seattle, WA",,Contract,"SQL, Kubernetes, React",02-08-2025
JID-2282,Software Engineer,InnovateX,"New York, NY",,Part-time,"Docker, React, Node.js, C++",3/22/2024
JID-2980,Software Engineer,AI Solutions,"Austin, TX",,Part-time,"Python, TensorFlow",12-02-2024
JID-4187,AI Engineer,AI Solutions,Remote,Negotiable,Part-time,"Kubernetes, Python, React, TensorFlow, C++",05-02-2023
JID-4970,Backend Developer,WebWorld,"San Francisco, CA",,Part-time,"Docker, Kubernetes, React, C++",03-03-2023
JID-3342,Cybersecurity Analyst,CyberSecure,"Austin, TX",$58k,Full-time,,11-04-2023
JID-8210,Cybersecurity Analyst,CyberSecure,Remote,$93k,Full-time,"Python, Node.js, Java",02-04-2024
JID-6689,Cybersecurity Analyst,DataWave,"Austin, TX",Negotiable,Part-time,"Node.js, Kubernetes, React, Java, Python",04-08-2025
JID-8499,Full Stack Developer,AI Solutions,"San Francisco, CA",,Full-time,"Kubernetes, Node.js, Python, Docker",6/24/2023
JID-1893,Full Stack Developer,AI Solutions,"Boston, MA",$62k,Full-time,"Docker, Python, Node.js",8/27/2023
JID-4697,Cloud Architect,CodeBase,Remote,Negotiable,,"Docker, TensorFlow, AWS, Java, Node.js",4/27/2023
JID-5569,DevOps Engineer,DevMasters,"San Francisco, CA",,Full-time,"C++, Docker, Kubernetes, Java, SQL",7/23/2023
JID-3946,Frontend Developer,CyberSecure,"Austin, TX",Negotiable,Full-time,"Kubernetes, Python, Node.js, TensorFlow, React",1/19/2025
JID-4917,Data Scientist,ML Insights,"Seattle, WA",$71k,Contract,"Kubernetes, TensorFlow, C++, SQL",07-08-2024
JID-8866,DevOps Engineer,,Remote,,Part-time,"Docker, SQL, AWS, React, Java",05-03-2025
JID-9724,Frontend Developer,ML Insights,"New York, NY",,Contract,"Python, Java, AWS",10-09-2023
JID-9079,Frontend Developer,InnovateX,Remote,$99k,Contract,,04-11-2023
JID-6724,Product Manager,InnovateX,"Chicago, IL",,Full-time,"TensorFlow, Python",8/22/2023
JID-4427,Product Manager,CodeBase,Remote,$94k,Full-time,"AWS, SQL, Kubernetes",1/14/2024
JID-9698,Cloud Architect,ML Insights,"Austin, TX",$61k,Contract,,3/21/2025
JID-8097,AI Engineer,InnovateX,"Los Angeles, CA",,,"Kubernetes, TensorFlow, C++, React",11-10-2025
JID-6137,Frontend Developer,CyberSecure,"Austin, TX",$132k,Full-time,"Java, Kubernetes, AWS, SQL, C++",07-11-2023
JID-9442,Data Scientist,CyberSecure,"New York, NY",,,"AWS, TensorFlow, Docker, C++, Python",12/23/2023
JID-2403,AI Engineer,CyberSecure,Remote,,Contract,"Kubernetes, Java, Node.js, C++, Docker",6/20/2024
JID-9853,Data Scientist,CloudNet,"San Francisco, CA",,Part-time,"Docker, TensorFlow, Kubernetes, Node.js, C++",10-03-2023
JID-4380,Cloud Architect,AI Solutions,"Boston, MA",Negotiable,Contract,"Java, Python, Docker, AWS",10-05-2023
JID-3809,Frontend Developer,InnovateX,"Boston, MA",Negotiable,Contract,"C++, SQL",5/18/2024
JID-3260,Product Manager,CyberSecure,"Austin, TX",Negotiable,Full-time,"C++, Docker",04-09-2023
JID-3123,DevOps Engineer,DevMasters,"Chicago, IL",Negotiable,Part-time,"C++, Docker",9/19/2025
JID-7596,Backend Developer,ML Insights,"New York, NY",Negotiable,Full-time,"SQL, TensorFlow, Node.js",2/25/2024
JID-1376,Frontend Developer,TechCorp,"San Francisco, CA",,Contract,"React, Kubernetes, Python, SQL",12/25/2025
JID-4711,Backend Developer,DevMasters,"San Francisco, CA",,Contract,"Kubernetes, Python, TensorFlow",7/16/2023
JID-5025,Data Scientist,CyberSecure,Remote,$133k,Full-time,"Kubernetes, C++, Python, TensorFlow",10-10-2025
JID-7728,AI Engineer,InnovateX,"New York, NY",Negotiable,Contract,"SQL, AWS, Kubernetes, Docker",11/24/2023
JID-7302,Cloud Architect,CodeBase,"Austin, TX",$102k,Contract,"React, Node.js, TensorFlow",7/17/2024
JID-7733,Cloud Architect,CloudNet,"Boston, MA",$128k,Part-time,,2/15/2025
JID-5449,Software Engineer,ML Insights,"San Francisco, CA",$68k,Full-time,"Java, C++",11-10-2025
